,Cod.Car.Sec,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final
0,CIV-PLS13 ,0,0,7,0,0,0,0,
1,MCT-PLS13 ,1,2017,18,15,0,0,0,1F-2
2,CIV-PLS13 ,0,0,13,0,0,0,0,
3,CIV-PLS13 ,0,0,0,0,0,0,0,
4,IND-PLS13 ,0,0,4,8,0,0,0,
5,MCT-PLS13 ,0,2017,17,19,0,0,12,"1F-1,3F-1"
6,ELE-PLS13 ,0,0,10,5,0,8,20,
7,MCT-PLS13 ,0,0,11,7,0,0,18,
8,ELE-PLS13 ,0,0,7,8,0,0,0,
9,ELE-PLS13 ,0,0,3,9,0,0,0,
10,MCT-PLS13 ,0,2017,11,20,0,20,0,
11,ELE-PLS13 ,0,2017,8,21,0,0,0,"1F-1,2F-1,3F-1"
12,CIV-PLS13 ,0,0,9,15,0,11,9,
13,MCT-PLS13 ,0,0,9,6,0,4,0,
14,MCT-PLS13 ,0,2016,16,9,0,17,12,
15,ELE-PLS13 ,0,0,9,13,0,0,10,
16,CIV-PLS13 ,0,0,3,20,0,12,24,
17,ELE-PLS13 ,0,2016,4,22,0,0,19,1F-1
18,ELE-PLS13 ,1,2017,23,25,0,0,0,1F-5
19,ELE-PLS13 ,1,0,7,19,0,0,0,"1F-1,2F-2"
20,ELE-PLS13 ,1,2017,11,27,0,0,0,"1F-1,2F-1,3F-2"
21,ELE-PLS13 ,0,2017,10,19,0,12,0,
22,ELE-PLS13 ,0,2017,8,18,0,14,28,3F-1
23,MCT-PLS13 ,0,0,16,8,0,21,0,
24,ELE-PLS13 ,0,2017,7,21,0,12,16,3F-1
25,MCT-PLS13 ,0,0,4,0,0,0,0,
26,ELE-PLS13 ,1,2017,6,25,0,0,0,"1F-1,2F-2"
27,MCT-PLS13 ,0,2016,2,0,0,0,0,2F-1
28,CIV-PLS13 ,1,2017,15,21,0,0,0,"1F-1,2F-3"
29,MCT-PLS13 ,0,2017,11,14,0,27,36,3F-1
30,IND-PLS13 ,0,0,5,5,0,0,0,
31,ELE-PLS13 ,0,2017,16,21,0,0,0,"1F-1,2F-1,3F-1"
32,MCT-PLS13 ,0,0,6,9,0,12,16,
33,CIV-PLS13 ,0,0,0,0,0,0,0,
34,CIV-PLS13 ,1,2016,10,20,0,0,0,1F-2
35,ELE-PLS13 ,0,0,11,14,0,12,28,
36,ELE-PLS13 ,0,2016,11,15,0,0,0,"2F-1,3F-1"
37,IND-PLS13 ,0,0,7,17,0,19,10,
38,CIV-PLS13 ,0,2017,13,25,0,10,0,
39,ELE-PLS13 ,0,0,8,11,0,0,0,
40,ELE-PLS13 ,0,0,9,13,0,14,22,
41,ELE-PLS13 ,1,2017,15,17,0,0,0,"2F-1,3F-2"
